#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.185918000673205E+04  0.292517741132335E+06
0.400000000000002E-08 0.996000000000003E+01  0.615621643960955E+03  0.290163315838695E+06
0.599999999999997E-08 0.129400000000000E+02  0.180693282289190E+04  0.290751687334636E+06
0.799999999999992E-08 0.159199999999999E+02  0.163879116018941E+04  0.291098984414170E+06
0.999999999999988E-08 0.188999999999998E+02  0.283207710319658E+04  0.290278578834887E+06
0.119999999999998E-07 0.218799999999997E+02  0.194853451077402E+04  0.291276661117252E+06
0.139999999999998E-07 0.248599999999997E+02  0.219252137666907E+04  0.290097930173735E+06
0.159999999999999E-07 0.278399999999999E+02  0.779698147792118E+03  0.289821219128533E+06
0.180000000000002E-07 0.308200000000003E+02  0.112597574648979E+04  0.290129619348542E+06
0.200000000000005E-07 0.338000000000007E+02  0.933416670585697E+03  0.288781291171241E+06
0.220000000000008E-07 0.367800000000011E+02  0.148597722975558E+04  0.288373691371908E+06
0.240000000000010E-07 0.397600000000016E+02  0.193109199733905E+04  0.287618575407079E+06
0.260000000000013E-07 0.427400000000020E+02  0.155743488043252E+04  0.288636498683961E+06
0.280000000000016E-07 0.457200000000024E+02  0.123819141945850E+04  0.286915556791954E+06
0.300000000000018E-07 0.487000000000027E+02  0.205148973642287E+04  0.287424315331723E+06
0.320000000000014E-07 0.516800000000022E+02  0.195116170826546E+04  0.287392168910940E+06
0.340000000000011E-07 0.546600000000016E+02  0.390096289956530E+03  0.287129529820668E+06
0.360000000000007E-07 0.576400000000010E+02  0.224021429294456E+04  0.283573816251308E+06
0.380000000000003E-07 0.606200000000005E+02  0.115660550905708E+03  0.285422083057439E+06
0.399999999999999E-07 0.635999999999999E+02  0.405597228364727E+04  0.287496352345197E+06
0.419999999999995E-07 0.665799999999993E+02  0.194874194227468E+04  0.286911896647635E+06
0.439999999999992E-07 0.695599999999988E+02  0.192012935655008E+04  0.285478198465252E+06
0.459999999999988E-07 0.725399999999982E+02  0.327716068392274E+03  0.285947579391691E+06
0.479999999999984E-07 0.755199999999976E+02  0.590737109796731E+03  0.285379877357214E+06
0.499999999999980E-07 0.784999999999971E+02  0.317862783268728E+04  0.284165178710502E+06
0.519999999999977E-07 0.814799999999965E+02  0.306640615449771E+04  0.286133524392015E+06
0.539999999999973E-07 0.844599999999959E+02  0.184676935824898E+04  0.284747798836633E+06
0.559999999999969E-07 0.874399999999954E+02  0.125779481106480E+04  0.284607941335623E+06
0.579999999999965E-07 0.904199999999948E+02  0.332541312671090E+04  0.284545633631349E+06
0.599999999999961E-07 0.933999999999943E+02  0.143042273158105E+04  0.287773801020054E+06
0.619999999999958E-07 0.963799999999937E+02  0.123121752387941E+04  0.286004617085586E+06
0.639999999999954E-07 0.993599999999931E+02  0.578266292658271E+04  0.285928112553166E+06
0.659999999999950E-07 0.102339999999993E+03  0.294578690392740E+04  0.284606572833950E+06
0.679999999999946E-07 0.105319999999992E+03  0.395327871755021E+04  0.282980488973092E+06
0.699999999999942E-07 0.108299999999991E+03  0.229841350254420E+04  0.285673317313107E+06
0.719999999999939E-07 0.111279999999991E+03  0.358606399156229E+03  0.284790417863069E+06
0.739999999999935E-07 0.114259999999990E+03  0.223555062408961E+04  0.286508076420089E+06
0.759999999999931E-07 0.117239999999990E+03  0.230396063089229E+04  0.282231000693814E+06
0.779999999999927E-07 0.120219999999989E+03 -0.117881409155136E+04  0.280418460890237E+06
0.799999999999924E-07 0.123199999999989E+03  0.392336432056182E+04  0.285136198579376E+06
0.819999999999920E-07 0.126179999999988E+03  0.452710381658533E+04  0.282489350448005E+06
0.839999999999916E-07 0.129159999999987E+03  0.814940018223353E+03  0.282465268270501E+06
0.859999999999912E-07 0.132139999999987E+03  0.339961069576124E+04  0.281307591251959E+06
0.879999999999908E-07 0.135119999999986E+03  0.453701457336875E+04  0.281283868286697E+06
0.899999999999905E-07 0.138099999999986E+03  0.220701784778527E+04  0.281300515889933E+06
0.919999999999901E-07 0.141079999999985E+03  0.176900355412487E+04  0.279004828484977E+06
0.939999999999897E-07 0.144059999999985E+03  0.508058837306972E+04  0.284734931712575E+06
0.959999999999893E-07 0.147039999999984E+03  0.546939776739535E+04  0.277386715709042E+06
0.979999999999889E-07 0.150019999999984E+03  0.300793888387847E+04  0.279822949977998E+06
0.999999999999886E-07 0.152999999999983E+03 -0.614975080878859E+03  0.278552113488541E+06
0.101999999999988E-06 0.155979999999982E+03  0.666047115762794E+04  0.274913677846587E+06
0.103999999999988E-06 0.158959999999982E+03  0.205448507287109E+04  0.281053956991148E+06
0.105999999999987E-06 0.161939999999981E+03  0.262639468678739E+04  0.278563455988734E+06
0.107999999999987E-06 0.164919999999981E+03  0.556678584196571E+03  0.279689887016520E+06
0.109999999999987E-06 0.167899999999980E+03  0.773509009399630E+04  0.272668397677121E+06
0.111999999999986E-06 0.170879999999980E+03  0.462125783521488E+04  0.275102836133361E+06
0.113999999999986E-06 0.173859999999979E+03  0.385182750644211E+04  0.271988482543295E+06
0.115999999999986E-06 0.176839999999978E+03  0.135911903875584E+04  0.276783642149408E+06
0.117999999999985E-06 0.179819999999978E+03  0.317322283637336E+04  0.276146000285144E+06
0.119999999999986E-06 0.182799999999979E+03  0.205338122934607E+04  0.272019070864426E+06
0.121999999999988E-06 0.185779999999982E+03 -0.507259410994278E+03  0.275556765546752E+06
0.123999999999990E-06 0.188759999999986E+03  0.591714923214421E+04  0.274034906752996E+06
0.125999999999993E-06 0.191739999999989E+03  0.250068736899285E+04  0.277365298990732E+06
0.127999999999995E-06 0.194719999999992E+03  0.673880599880172E+04  0.276276198891282E+06
0.129999999999997E-06 0.197699999999996E+03  0.862327666008547E+04  0.272463199903877E+06
0.131999999999999E-06 0.200679999999999E+03  0.111958702124284E+05  0.273048939254148E+06
0.134000000000002E-06 0.203660000000003E+03  0.794854681211352E+04  0.269359293570455E+06
0.136000000000004E-06 0.206640000000006E+03  0.103222064944387E+05  0.271160294844678E+06
0.138000000000006E-06 0.209620000000009E+03  0.829639093346732E+04  0.268929397056261E+06
0.140000000000009E-06 0.212600000000013E+03  0.964279800787532E+04  0.263495669982184E+06
0.142000000000011E-06 0.215580000000016E+03  0.103388280824579E+05  0.263305458324890E+06
0.144000000000013E-06 0.218560000000019E+03  0.106983691810446E+05  0.264403208846847E+06
0.146000000000015E-06 0.221540000000023E+03  0.136915332282276E+05  0.269056017345276E+06
0.148000000000018E-06 0.224520000000026E+03  0.782683312114579E+04  0.255196513905114E+06
0.150000000000020E-06 0.227500000000030E+03  0.109261693243531E+05  0.259033787690146E+06
0.152000000000022E-06 0.230480000000033E+03  0.541238452502907E+04  0.252700512294900E+06
0.154000000000024E-06 0.233460000000036E+03  0.107302923695080E+05  0.251269141142623E+06
0.156000000000027E-06 0.236440000000040E+03  0.102761764087694E+05  0.251808458446868E+06
0.158000000000029E-06 0.239420000000043E+03  0.206406908842145E+05  0.251543714210252E+06
0.160000000000031E-06 0.242400000000046E+03  0.122129178268913E+05  0.244320434372899E+06
0.162000000000033E-06 0.245380000000050E+03  0.211086311234390E+05  0.246751119943858E+06
0.164000000000036E-06 0.248360000000053E+03  0.159556589208569E+05  0.247799251711936E+06
0.166000000000038E-06 0.251340000000057E+03  0.166874395603587E+05  0.242195732614840E+06
0.168000000000040E-06 0.254320000000060E+03  0.215606644183668E+05  0.239592085016598E+06
0.170000000000043E-06 0.257300000000063E+03  0.247477665320262E+05  0.235965115641364E+06
0.172000000000045E-06 0.260280000000067E+03  0.262386568029341E+05  0.235429311486978E+06
0.174000000000047E-06 0.263260000000070E+03  0.261908141601600E+05  0.231838615075689E+06
0.176000000000049E-06 0.266240000000074E+03  0.230776205155077E+05  0.234281770076759E+06
0.178000000000052E-06 0.269220000000077E+03  0.284318755846798E+05  0.223234920972034E+06
