#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.129861909631789e-01  2.374623413384133e-01  9.648034810766962e-01 -3.879857953695466e-04 -8.129985028029828e-03  9.999668758566289e-01 -8.078263038359325e-01  5.628136658495601e-01  1.750926622213380e-01 -8.078263038359325e-01  5.628136658495601e-01  1.750926622213380e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.684278591535804e-01 -2.902570203095156e-01  7.698315602124394e-01  3.962199621099039e-01 -8.584616850072072e-01 -3.256582211463620e-01 -5.661512315040115e-01  6.136987536259261e-01 -5.503150214781314e-01 -5.661512315040115e-01  6.136987536259261e-01 -5.503150214781314e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.918731075641201e-01 -4.350016611850679e-01  1.238382605261836e-01  2.768318552081350e-01  5.021239437299057e-01  8.192897345110268e-01  1.193057618599454e-01  2.881449509246716e-01 -9.501255824593066e-01  1.193057618599454e-01  2.881449509246716e-01 -9.501255824593066e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.293849140927072e-01  2.337767141016605e-01  5.074141427071808e-01 -1.461796705185765e-01 -2.510207864444557e-01  9.568803836947893e-01  1.389781321757316e-01 -2.069242493159672e-01  9.684355599739036e-01  1.389781321757316e-01 -2.069242493159672e-01  9.684355599739036e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -6.945165584896316e-01  7.816078713134965e-03 -7.194342630826448e-01 -2.046493236988024e-01 -9.294996814315306e-01 -3.068370846692198e-01 -3.967663638059177e-01 -7.494165804876498e-01  5.300483387790476e-01 -3.967663638059177e-01 -7.494165804876498e-01  5.300483387790476e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.087760484472667e-02  4.785254427955894e-02  9.987951800638681e-01  3.569324867662847e-01 -3.737765441272450e-01  8.560901208115472e-01 -1.054442572101502e-01 -7.464115514538746e-01 -6.570778526762409e-01 -1.054442572101502e-01 -7.464115514538746e-01 -6.570778526762409e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.259704032855473e-02  9.788609662477459e-01 -2.019124605326471e-01  6.631023440631232e-01  3.731907663958018e-01  6.488635705407613e-01  9.289116258962741e-01 -3.458201446792536e-01 -1.324070194844700e-01  9.289116258962741e-01 -3.458201446792536e-01 -1.324070194844700e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.739457722574372e-01  3.116349905153887e-02 -9.842620101581837e-01  6.277011471242193e-01 -7.603227377983465e-01 -1.670347397572312e-01  9.273492112664675e-02  2.245015576980520e-01 -9.700511764823456e-01  9.273492112664675e-02  2.245015576980520e-01 -9.700511764823456e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.758402262258339e-01 -6.105680545234127e-01 -5.437045931897903e-01  2.953995916865909e-01 -5.077967870227601e-02 -9.540233254288329e-01  1.750840797226889e-01  3.276618412786373e-01 -9.284305481820125e-01  1.750840797226889e-01  3.276618412786373e-01 -9.284305481820125e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.126050506538844e-01 -1.401924564815395e-01  9.000573022427946e-01  6.752966519007583e-02 -2.325349645916654e-02 -9.974462487882442e-01  2.736469683707348e-01 -3.878669931973120e-01 -8.801571065949433e-01  2.736469683707348e-01 -3.878669931973120e-01 -8.801571065949433e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.339519166637798e-01 -2.107083859854016e-01 -9.491409151252362e-01 -9.388781918291610e-01 -7.534847216988237e-02  3.359022903304913e-01 -3.213368133152968e-01  2.649783291865671e-01 -9.091364790117408e-01 -3.213368133152968e-01  2.649783291865671e-01 -9.091364790117408e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.848801007376621e-01  8.467540842437901e-02  4.580581650038228e-01  1.908922841354193e-01  7.427455213374689e-01 -6.417859661839715e-01  9.981650851967347e-01 -1.853366029608424e-02 -5.764517438801458e-02  9.981650851967347e-01 -1.853366029608424e-02 -5.764517438801458e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.395653612580317e-01  5.397971903909083e-01  6.122905700525134e-02  9.354472002532136e-01  1.909820000861775e-01 -2.974296743458990e-01 -7.533278377086908e-01  4.589537028202052e-01  4.710187550414220e-01 -7.533278377086908e-01  4.589537028202052e-01  4.710187550414220e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.742623169350475e-01  2.259389521299824e-01  9.584280018899879e-01 -7.803024971113363e-01 -3.294228437234964e-01  5.316094459609780e-01  4.366981707266489e-02 -9.928991444649592e-01  1.106536759334819e-01  4.366981707266489e-02 -9.928991444649592e-01  1.106536759334819e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.136516798550809e-01 -4.426508059192440e-01  7.955831520162512e-01 -6.338164877273670e-01  4.606004457697129e-01  6.213886780765210e-01  5.961364017948676e-01  2.159928723864872e-02  8.025925873354741e-01  5.961364017948676e-01  2.159928723864872e-02  8.025925873354741e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.747953033769103e-01  1.597998759372843e-02  2.225281027439494e-01  3.144564608893883e-02 -2.261061173835283e-02 -9.992496843026104e-01 -1.188328317484985e-01  3.694870916133520e-01  9.216062321999235e-01 -1.188328317484985e-01  3.694870916133520e-01  9.216062321999235e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -6.706660522327040e-01  4.451993371045008e-01 -5.932997527593560e-01 -8.208302231972339e-02  5.601438895038545e-01  8.243186280185311e-01  7.524743817644385e-01  5.162475347060888e-01  4.089875153328177e-01  7.524743817644385e-01  5.162475347060888e-01  4.089875153328177e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.210536069924496e-01 -9.074778605903886e-01 -4.022809425916282e-01 -1.477557805581876e-01  1.393625795757445e-02  9.889256847841402e-01  5.987814127009760e-01  6.261647438989873e-02  7.984610177953603e-01  5.987814127009760e-01  6.261647438989873e-02  7.984610177953603e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.311259882287377e-01 -3.042118370419662e-01 -2.011455996252684e-01  9.906813920480075e-02 -1.602252280296721e-01  9.820964209777662e-01 -2.091742438987700e-01  7.970076786040925e-01  5.665905893460405e-01 -2.091742438987700e-01  7.970076786040925e-01  5.665905893460405e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  7.208154721105590e-01 -1.037163750237683e-01  6.853232585561073e-01  4.553845716975325e-01 -5.558363722813092e-01  6.954644628656512e-01 -3.273988606713000e-02  2.584333795527840e-01  9.654741261127809e-01 -3.273988606713000e-02  2.584333795527840e-01  9.654741261127809e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.474538860775645e-01 -1.575304175349578e-01  9.243700366200003e-01 -3.986867503752534e-02 -9.020678607239863e-01  4.297488375779546e-01 -1.188820893925946e-01 -5.354728670680834e-01 -8.361434431098158e-01 -1.188820893925946e-01 -5.354728670680834e-01 -8.361434431098158e-01
