# Summary

# Parameter                 Value Unit
         N:                  1000 n.u.         
        RM: 5.600000000000000e-09 m       
       σRM:                   0.0 n.u.    
         δ: 1.000000000000000e-09 m        
        σδ:                   0.0 n.u.     
        RP: 6.600000000000000e-09 m       
        ΩM: 7.356185806037666e-25 m3      
        ΩP: 1.204260428715268e-24 m3      
         ρ: 5.240000000000000e+03 kg/m3    
        MS: 4.460000000000000e+05 A/m     
      Keff: 3.200000000000000e+04 J/m3  
        HK: 1.141918874201940e+05 A/m     
         α: 1.000000000000000e-01 n.u.     
        θM:                    -1 rad         
        θN:                    -1 rad         
        Ti: 4.000000000000000e+00 K   
        Tf: 6.000000000000000e+02 K   
        HS: 2.387324146378430e+05 A/m 
        HC: 3.978873577297384e+03 A/m 
        tp: 3.788098424985738e-10 s       
        dt: 9.999999999999999e-12 s       
        X1:                   200 n.u.    
        X2:                   200 n.u.    
